Werk,Materialnummer,Materialbeschreibung,Menge,Mengeneinheit,Buchungsdatum,Lieferant,Kostenstelle,Belegnummer
PLT_001,MAT-1001,Diesel Kraftstoff,2500,Ltr,15.01.2024,Shell Deutschland GmbH,CC-4001,DOC-20240115-001
PLT_001,MAT-1001,Diesel Kraftstoff,1800,L,22.01.2024,Shell Deutschland GmbH,CC-4001,DOC-20240122-002
PLT_002,MAT-1002,Erdgas (Natural Gas),4500,m3,03.02.2024,Stadtwerke München,CC-4002,DOC-20240203-003
PLT_001,MAT-1003,Benzin (Petrol),800,Ltr,10.02.2024,Aral AG,CC-4001,DOC-20240210-004
PLT_003,MAT-1004,Heizöl (Heating Oil),3200,Ltr,18.02.2024,Total Energies DE,CC-4003,DOC-20240218-005
PLT_002,MAT-1005,LPG Flüssiggas,1200,KG,25.02.2024,Westfalen AG,CC-4002,DOC-20240225-006
PLT_001,MAT-2001,Büromöbel (Office Furniture),50,Stück,01.03.2024,IKEA Business,CC-5001,DOC-20240301-007
PLT_004,MAT-2002,Laptops Dell Latitude,120,Stück,05.03.2024,Dell Technologies,CC-5002,DOC-20240305-008
PLT_001,MAT-1001,Diesel Kraftstoff,2200,L,12.03.2024,Shell Deutschland GmbH,CC-4001,DOC-20240312-009
PLT_005,MAT-1002,Erdgas (Natural Gas),5100,kubikmeter,20.03.2024,EnBW Energie,CC-4005,DOC-20240320-010
DE01,MAT-1003,Benzin (Petrol),950,Liters,28.03.2024,Aral AG,CC-4001,DOC-20240328-011
PLT_001,MAT-2003,Druckerpapier A4,500,KG,02.04.2024,Papier Union,CC-5001,DOC-20240402-012
PLT_002,MAT-1001,Diesel Kraftstoff,,Ltr,10.04.2024,Shell Deutschland GmbH,CC-4002,DOC-20240410-013
PLT_003,MAT-1004,Heizöl (Heating Oil),2800,Ltr,15.04.2024,Total Energies DE,CC-4003,DOC-20240415-014
PLT_001,MAT-2004,Reinigungsmittel (Cleaning Supplies),200,KG,22.04.2024,Henkel AG,CC-5003,DOC-20240422-015
PLT_004,MAT-1001,Diesel Kraftstoff,1500,L,30.04.2024,Shell Deutschland GmbH,CC-4004,DOC-20240430-016
DE02,MAT-1002,Erdgas (Natural Gas),3800,m3,05.05.2024,Stadtwerke München,CC-4002,DOC-20240505-017
PLT_001,MAT-1003,Benzin (Petrol),99999,Ltr,12.05.2024,Aral AG,CC-4001,DOC-20240512-018
PLT_003,MAT-2005,Server Hardware,25,Stück,20.05.2024,HPE Deutschland,CC-5004,DOC-20240520-019
PLT_005,MAT-1001,Diesel Kraftstoff,1900,L,28.05.2024,Shell Deutschland GmbH,CC-4005,DOC-20240528-020
PLT_001,MAT-1004,Heizöl (Heating Oil),2600,Ltr,04.06.2024,Total Energies DE,CC-4001,DOC-20240604-021
PLT_002,MAT-1005,LPG Flüssiggas,1100,KG,12.06.2024,Westfalen AG,CC-4002,DOC-20240612-022
PLT_001,MAT-2006,Catering Services,1,Pauschal,20.06.2024,Aramark GmbH,CC-5005,DOC-20240620-023
DE03,MAT-1001,Diesel Kraftstoff,2100,Ltr,28.06.2024,Shell Deutschland GmbH,CC-4003,DOC-20240628-024
PLT_001,MAT-1002,Erdgas (Natural Gas),4200,m3,05.07.2024,Mainova AG,CC-4001,DOC-20240705-025
